0,0,0.730258,-1.259159,0.2548
0,0,-0.962123,-0.730258,-0.851306
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.345539,-0.597631,0.126662
0,0,-0.388313,-0.600161,1.293329
0,0,-0.471613,-1.210919,-0.703518
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.172248,0.842176,0.316629
0,0,-0.832526,1.212511,-0.142822
0,0,-0.341197,-0.065085,1.436325
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.914066,-0.592962,-0.998278
0,0,-1.145202,0.66996,0.65065
0,0,-0.191507,-1.176108,0.873942
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.256627,-0.169708,-1.445345
0,0,0.267414,-1.437156,0.216226
0,0,-1.430494,-0.299104,-0.21887
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.276812,0.693801,-0.26846
0,0,-0.290192,-0.955517,-1.089246
0,0,0.684996,0.88843,-0.961849
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.022333,-0.001368,1.477559
0,0,0.180287,1.466688,-0.001368
0,0,-1.466519,0.180287,0.022333
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.454519,-0.260749,0.007984
0,0,-0.181917,-0.98141,1.089688
0,0,-0.186976,-1.073557,-0.998096
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.432207,-0.353675,0.085891
0,0,0.289731,-1.318984,-0.600015
0,0,-0.22027,0.564691,-1.347696
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.479878,-0.202748,-1.382856
0,0,-1.197,-0.695174,0.517305
0,0,0.721518,-1.288141,-0.06152
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.178917,-0.94321,1.123398
0,0,1.268128,-0.469342,-0.596028
0,0,-0.737238,-1.036221,-0.7526
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.46503,-1.173471,-0.768371
0,0,1.020213,0.838508,-0.663137
0,0,0.962597,-0.321793,1.074028
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.468675,-0.106283,0.124008
0,0,0.115308,-1.469384,0.106283
0,0,-0.115663,-0.115308,-1.468675
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.451226,0.215247,0.176894
0,0,0.119269,0.367956,-1.426206
0,0,-0.251789,1.414905,0.343985
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.909449,-0.071053,-1.162555
0,0,-1.164589,0.032978,0.909025
0,0,0.017764,-1.47565,0.076292
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.131567,-1.197309,0.85605
0,0,1.258024,-0.537618,-0.55859
0,0,-0.764033,-0.679042,-1.067162
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.473868,0.051221,-0.093651
0,0,-0.036414,-1.459977,-0.225439
0,0,0.10034,0.222542,-1.457425
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.421264,0.160146,-0.371541
0,0,-0.269617,-1.386695,0.433664
0,0,0.301655,-0.484883,-1.362928
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.432596,0.106921,1.408939
0,0,-0.672399,1.311537,0.106921
0,0,-1.242748,-0.672399,0.432596
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.259774,-0.71424,0.294129
0,0,-0.436857,-0.194744,1.398181
0,0,-0.63703,-1.278912,-0.37717
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.851306,-0.2548,1.180693
0,0,0.730258,-1.259159,0.2548
0,0,-0.962123,-0.730258,-0.851306
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.345539,-0.597631,0.126662
0,0,-0.388313,-0.600161,1.293329
0,0,-0.471613,-1.210919,-0.703518
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.172248,0.842176,0.316629
0,0,-0.832526,1.212511,-0.142822
0,0,-0.341197,-0.065085,1.436325
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.914066,-0.592962,-0.998278
0,0,-1.145202,0.66996,0.65065
0,0,-0.191507,-1.176108,0.873942
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.256627,-0.169708,-1.445345
0,0,0.267414,-1.437156,0.216226
0,0,-1.430494,-0.299104,-0.21887
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.276812,0.693801,-0.26846
0,0,-0.290192,-0.955517,-1.089246
0,0,0.684996,0.88843,-0.961849
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.022333,-0.001368,1.477559
0,0,0.180287,1.466688,-0.001368
0,0,-1.466519,0.180287,0.022333
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.454519,-0.260749,0.007984
0,0,-0.181917,-0.98141,1.089688
0,0,-0.186976,-1.073557,-0.998096
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.432207,-0.353675,0.085891
0,0,0.289731,-1.318984,-0.600015
0,0,-0.22027,0.564691,-1.347696
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.479878,-0.202748,-1.382856
0,0,-1.197,-0.695174,0.517305
0,0,0.721518,-1.288141,-0.06152
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.178917,-0.94321,1.123398
0,0,1.268128,-0.469342,-0.596028
0,0,-0.737238,-1.036221,-0.7526
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.46503,-1.173471,-0.768371
0,0,1.020213,0.838508,-0.663137
0,0,0.962597,-0.321793,1.074028
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.468675,-0.106283,0.124008
0,0,0.115308,-1.469384,0.106283
0,0,-0.115663,-0.115308,-1.468675
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.451226,0.215247,0.176894
0,0,0.119269,0.367956,-1.426206
0,0,-0.251789,1.414905,0.343985
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.909449,-0.071053,-1.162555
0,0,-1.164589,0.032978,0.909025
0,0,0.017764,-1.47565,0.076292
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.131567,-1.197309,0.85605
0,0,1.258024,-0.537618,-0.55859
0,0,-0.764033,-0.679042,-1.067162
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.473868,0.051221,-0.093651
0,0,-0.036414,-1.459977,-0.225439
0,0,0.10034,0.222542,-1.457425
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.421264,0.160146,-0.371541
0,0,-0.269617,-1.386695,0.433664
0,0,0.301655,-0.484883,-1.362928
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.432596,0.106921,1.408939
0,0,-0.672399,1.311537,0.106921
0,0,-1.242748,-0.672399,0.432596
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.259774,-0.71424,0.294129
0,0,-0.436857,-0.194744,1.398181
0,0,-0.63703,-1.278912,-0.37717
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.851306,-0.2548,1.180693
0,0,0.730258,-1.259159,0.2548
0,0,-0.962123,-0.730258,-0.851306
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.345539,-0.597631,0.126662
0,0,-0.388313,-0.600161,1.293329
0,0,-0.471613,-1.210919,-0.703518
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.172248,0.842176,0.316629
0,0,-0.832526,1.212511,-0.142822
0,0,-0.341197,-0.065085,1.436325
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.914066,-0.592962,-0.998278
0,0,-1.145202,0.66996,0.65065
0,0,-0.191507,-1.176108,0.873942
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.256627,-0.169708,-1.445345
0,0,0.267414,-1.437156,0.216226
0,0,-1.430494,-0.299104,-0.21887
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.276812,0.693801,-0.26846
0,0,-0.290192,-0.955517,-1.089246
0,0,0.684996,0.88843,-0.961849
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.022333,-0.001368,1.477559
0,0,0.180287,1.466688,-0.001368
0,0,-1.466519,0.180287,0.022333
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.454519,-0.260749,0.007984
0,0,-0.181917,-0.98141,1.089688
0,0,-0.186976,-1.073557,-0.998096
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.432207,-0.353675,0.085891
0,0,0.289731,-1.318984,-0.600015
0,0,-0.22027,0.564691,-1.347696
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.479878,-0.202748,-1.382856
0,0,-1.197,-0.695174,0.517305
0,0,0.721518,-1.288141,-0.06152
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.178917,-0.94321,1.123398
0,0,1.268128,-0.469342,-0.596028
0,0,-0.737238,-1.036221,-0.7526
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.46503,-1.173471,-0.768371
0,0,1.020213,0.838508,-0.663137
0,0,0.962597,-0.321793,1.074028
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.468675,-0.106283,0.124008
0,0,0.115308,-1.469384,0.106283
0,0,-0.115663,-0.115308,-1.468675
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.451226,0.215247,0.176894
0,0,0.119269,0.367956,-1.426206
0,0,-0.251789,1.414905,0.343985
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.909449,-0.071053,-1.162555
0,0,-1.164589,0.032978,0.909025
0,0,0.017764,-1.47565,0.076292
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.131567,-1.197309,0.85605
0,0,1.258024,-0.537618,-0.55859
0,0,-0.764033,-0.679042,-1.067162
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.473868,0.051221,-0.093651
0,0,-0.036414,-1.459977,-0.225439
0,0,0.10034,0.222542,-1.457425
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.421264,0.160146,-0.371541
0,0,-0.269617,-1.386695,0.433664
0,0,0.301655,-0.484883,-1.362928
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.432596,0.106921,1.408939
0,0,-0.672399,1.311537,0.106921
0,0,-1.242748,-0.672399,0.432596
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.259774,-0.71424,0.294129
0,0,-0.436857,-0.194744,1.398181
0,0,-0.63703,-1.278912,-0.37717
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.851306,-0.2548,1.180693
0,0,0.730258,-1.259159,0.2548
0,0,-0.962123,-0.730258,-0.851306
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.345539,-0.597631,0.126662
0,0,-0.388313,-0.600161,1.293329
0,0,-0.471613,-1.210919,-0.703518
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.172248,0.842176,0.316629
0,0,-0.832526,1.212511,-0.142822
0,0,-0.341197,-0.065085,1.436325
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.914066,-0.592962,-0.998278
0,0,-1.145202,0.66996,0.65065
0,0,-0.191507,-1.176108,0.873942
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.256627,-0.169708,-1.445345
0,0,0.267414,-1.437156,0.216226
0,0,-1.430494,-0.299104,-0.21887
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.276812,0.693801,-0.26846
0,0,-0.290192,-0.955517,-1.089246
0,0,0.684996,0.88843,-0.961849
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.022333,-0.001368,1.477559
0,0,0.180287,1.466688,-0.001368
0,0,-1.466519,0.180287,0.022333
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.454519,-0.260749,0.007984
0,0,-0.181917,-0.98141,1.089688
0,0,-0.186976,-1.073557,-0.998096
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.432207,-0.353675,0.085891
0,0,0.289731,-1.318984,-0.600015
0,0,-0.22027,0.564691,-1.347696
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.479878,-0.202748,-1.382856
0,0,-1.197,-0.695174,0.517305
0,0,0.721518,-1.288141,-0.06152
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.178917,-0.94321,1.123398
0,0,1.268128,-0.469342,-0.596028
0,0,-0.737238,-1.036221,-0.7526
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.46503,-1.173471,-0.768371
0,0,1.020213,0.838508,-0.663137
0,0,0.962597,-0.321793,1.074028
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.468675,-0.106283,0.124008
0,0,0.115308,-1.469384,0.106283
0,0,-0.115663,-0.115308,-1.468675
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.451226,0.215247,0.176894
0,0,0.119269,0.367956,-1.426206
0,0,-0.251789,1.414905,0.343985
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.909449,-0.071053,-1.162555
0,0,-1.164589,0.032978,0.909025
0,0,0.017764,-1.47565,0.076292
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.131567,-1.197309,0.85605
0,0,1.258024,-0.537618,-0.55859
0,0,-0.764033,-0.679042,-1.067162
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.473868,0.051221,-0.093651
0,0,-0.036414,-1.459977,-0.225439
0,0,0.10034,0.222542,-1.457425
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.421264,0.160146,-0.371541
0,0,-0.269617,-1.386695,0.433664
0,0,0.301655,-0.484883,-1.362928
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.432596,0.106921,1.408939
0,0,-0.672399,1.311537,0.106921
0,0,-1.242748,-0.672399,0.432596
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.259774,-0.71424,0.294129
0,0,-0.436857,-0.194744,1.398181
0,0,-0.63703,-1.278912,-0.37717
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.851306,-0.2548,1.180693
0,0,0.730258,-1.259159,0.2548
0,0,-0.962123,-0.730258,-0.851306
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.345539,-0.597631,0.126662
0,0,-0.388313,-0.600161,1.293329
0,0,-0.471613,-1.210919,-0.703518
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.172248,0.842176,0.316629
0,0,-0.832526,1.212511,-0.142822
0,0,-0.341197,-0.065085,1.436325
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.914066,-0.592962,-0.998278
0,0,-1.145202,0.66996,0.65065
0,0,-0.191507,-1.176108,0.873942
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.256627,-0.169708,-1.445345
0,0,0.267414,-1.437156,0.216226
0,0,-1.430494,-0.299104,-0.21887
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.276812,0.693801,-0.26846
0,0,-0.290192,-0.955517,-1.089246
0,0,0.684996,0.88843,-0.961849
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.022333,-0.001368,1.477559
0,0,0.180287,1.466688,-0.001368
0,0,-1.466519,0.180287,0.022333
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.454519,-0.260749,0.007984
0,0,-0.181917,-0.98141,1.089688
0,0,-0.186976,-1.073557,-0.998096
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.432207,-0.353675,0.085891
0,0,0.289731,-1.318984,-0.600015
0,0,-0.22027,0.564691,-1.347696
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.479878,-0.202748,-1.382856
0,0,-1.197,-0.695174,0.517305
0,0,0.721518,-1.288141,-0.06152
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.178917,-0.94321,1.123398
0,0,1.268128,-0.469342,-0.596028
0,0,-0.737238,-1.036221,-0.7526
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.46503,-1.173471,-0.768371
0,0,1.020213,0.838508,-0.663137
0,0,0.962597,-0.321793,1.074028
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.468675,-0.106283,0.124008
0,0,0.115308,-1.469384,0.106283
0,0,-0.115663,-0.115308,-1.468675
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.451226,0.215247,0.176894
0,0,0.119269,0.367956,-1.426206
0,0,-0.251789,1.414905,0.343985
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.909449,-0.071053,-1.162555
0,0,-1.164589,0.032978,0.909025
0,0,0.017764,-1.47565,0.076292
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.131567,-1.197309,0.85605
0,0,1.258024,-0.537618,-0.55859
0,0,-0.764033,-0.679042,-1.067162
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.473868,0.051221,-0.093651
0,0,-0.036414,-1.459977,-0.225439
0,0,0.10034,0.222542,-1.457425
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.421264,0.160146,-0.371541
0,0,-0.269617,-1.386695,0.433664
0,0,0.301655,-0.484883,-1.362928
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.432596,0.106921,1.408939
0,0,-0.672399,1.311537,0.106921
0,0,-1.242748,-0.672399,0.432596
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.259774,-0.71424,0.294129
0,0,-0.436857,-0.194744,1.398181
0,0,-0.63703,-1.278912,-0.37717
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.851306,-0.2548,1.180693
0,0,0.730258,-1.259159,0.2548
0,0,-0.962123,-0.730258,-0.851306
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.345539,-0.597631,0.126662
0,0,-0.388313,-0.600161,1.293329
0,0,-0.471613,-1.210919,-0.703518
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,1.172248,0.842176,0.316629
0,0,-0.832526,1.212511,-0.142822
0,0,-0.341197,-0.065085,1.436325
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-0.914066,-0.592962,-0.998278
0,0,-1.145202,0.66996,0.65065
0,0,-0.191507,-1.176108,0.873942
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,0.256627,-0.169708,-1.445345
0,0,0.267414,-1.437156,0.216226
0,0,-1.430494,-0.299104,-0.21887
nan,nan,nan,nan,nan
15.891122,-0.08589,0,0,0
-0.08589,0.47225,0,0,0
0,0,-1.276812,0.693801,-0.26846
0,0,-0.290192,-0.955517,-1.089246
